beat,primary_type,count
0111,THEFT,18684
0112,THEFT,16989
0113,THEFT,10237
0114,THEFT,5966
0121,THEFT,3853
0122,THEFT,23508
0123,THEFT,16034
0124,THEFT,10867
0131,THEFT,11563
0132,THEFT,13100
0133,THEFT,6538
0134,CRIMINAL TRESPASS,4996
0211,BATTERY,5377
0212,BATTERY,6535
0213,BATTERY,4412
0214,BATTERY,3712
0215,BATTERY,1458
0221,BATTERY,4218
0222,THEFT,5696
0223,THEFT,4534
0224,BATTERY,4495
0225,BATTERY,1682
0231,BATTERY,4471
0232,BATTERY,5280
0233,BATTERY,5358
0234,THEFT,6107
0235,THEFT,1976
0310,BATTERY,2
0311,BATTERY,5121
0312,BATTERY,9710
0313,BATTERY,7934
0314,BATTERY,5267
0321,BATTERY,10354
0322,BATTERY,7082
0323,BATTERY,7803
0324,BATTERY,9377
0331,BATTERY,7888
0332,BATTERY,7954
0333,THEFT,6286
0334,BATTERY,6853
0411,THEFT,7349
0412,THEFT,7796
0413,BATTERY,6210
0414,BATTERY,10042
0421,BATTERY,15468
0422,BATTERY,7250
0423,BATTERY,13507
0424,BATTERY,8780
0430,THEFT,5
0431,BATTERY,6624
0432,CRIMINAL DAMAGE,6403
0433,BATTERY,4655
0434,BATTERY,3161
0511,BATTERY,10693
0512,BATTERY,10484
0513,BATTERY,9250
0522,BATTERY,10383
0523,BATTERY,8635
0524,BATTERY,7662
0531,BATTERY,6346
0532,BATTERY,6227
0533,BATTERY,10685
0611,BATTERY,8516
0612,BATTERY,11156
0613,BATTERY,7487
0614,BATTERY,5896
0621,BATTERY,11439
0622,THEFT,9455
0623,THEFT,8052
0624,BATTERY,12894
0631,BATTERY,10634
0632,THEFT,10283
0633,BATTERY,4744
0634,THEFT,6591
0711,BATTERY,8131
0712,BATTERY,9996
0713,BATTERY,9930
0714,BATTERY,5518
0715,BATTERY,5840
0722,BATTERY,6874
0723,BATTERY,8159
0724,BATTERY,6726
0725,BATTERY,9178
0726,BATTERY,7090
0731,BATTERY,6665
0732,BATTERY,6988
0733,BATTERY,8192
0734,BATTERY,6070
0735,BATTERY,7761
0811,THEFT,5562
0812,THEFT,3980
0813,THEFT,8904
0814,BATTERY,4483
0815,THEFT,8363
0821,THEFT,7703
0822,CRIMINAL DAMAGE,5351
0823,BATTERY,10077
0824,BATTERY,6677
0825,BATTERY,9267
0831,BATTERY,8991
0832,BATTERY,8612
0833,THEFT,14674
0834,THEFT,7492
0835,THEFT,7069
0911,BATTERY,4056
0912,THEFT,6000
0913,THEFT,5347
0914,THEFT,8162
0915,BATTERY,5837
0921,THEFT,3575
0922,THEFT,5954
0923,THEFT,4880
0924,THEFT,5991
0925,THEFT,3660
0931,BATTERY,4875
0932,BATTERY,6213
0933,BATTERY,5333
0934,BATTERY,6660
0935,BATTERY,5478
1011,NARCOTICS,10980
1012,BATTERY,6155
1013,BATTERY,5728
1014,BATTERY,6769
1021,BATTERY,8543
1022,BATTERY,8066
1023,BATTERY,4231
1024,BATTERY,6855
1031,BATTERY,5731
1032,BATTERY,3739
1033,BATTERY,4772
1034,THEFT,6438
1111,BATTERY,7679
1112,NARCOTICS,19542
1113,NARCOTICS,7138
1114,NARCOTICS,5594
1115,NARCOTICS,8830
1121,NARCOTICS,13733
1122,NARCOTICS,12000
1123,BATTERY,7280
1124,NARCOTICS,7216
1125,NARCOTICS,3620
1131,NARCOTICS,8226
1132,NARCOTICS,11435
1133,BATTERY,9085
1134,NARCOTICS,8972
1135,NARCOTICS,8152
1211,THEFT,7559
1212,THEFT,10160
1213,THEFT,7838
1214,THEFT,6531
1215,THEFT,3713
1221,THEFT,3125
1222,THEFT,4249
1223,THEFT,5166
1224,THEFT,10346
1225,THEFT,2093
1231,BATTERY,5357
1232,THEFT,6619
1233,THEFT,5402
1234,BATTERY,1911
1235,THEFT,2059
1311,BATTERY,2945
1312,THEFT,3803
1313,THEFT,4406
1322,THEFT,3217
1323,THEFT,7836
1324,THEFT,4169
1331,NARCOTICS,3539
1332,THEFT,2977
1333,THEFT,2328
1411,THEFT,5415
1412,THEFT,5071
1413,THEFT,4412
1414,THEFT,6317
1421,THEFT,5032
1422,BATTERY,6824
1423,BATTERY,5761
1424,THEFT,13200
1431,THEFT,6806
1432,THEFT,12735
1433,THEFT,11359
1434,THEFT,10910
1511,BATTERY,6763
1512,BATTERY,6274
1513,BATTERY,5970
1522,NARCOTICS,11794
1523,NARCOTICS,9717
1524,NARCOTICS,7992
1531,NARCOTICS,13370
1532,NARCOTICS,13409
1533,NARCOTICS,14113
1611,THEFT,3456
1612,THEFT,2908
1613,THEFT,3361
1614,THEFT,4779
1621,THEFT,2354
1622,THEFT,6302
1623,THEFT,6243
1624,THEFT,5376
1631,THEFT,3500
1632,THEFT,4885
1633,THEFT,6860
1634,BATTERY,4801
1650,THEFT,101
1651,THEFT,7957
1652,OTHER OFFENSE,440
1653,OTHER OFFENSE,1154
1654,NARCOTICS,1495
1655,THEFT,424
1711,THEFT,5788
1712,THEFT,8038
1713,THEFT,4015
1722,THEFT,8598
1723,BATTERY,7000
1724,THEFT,5179
1731,THEFT,5973
1732,THEFT,7726
1733,THEFT,6974
1811,THEFT,10435
1812,THEFT,8967
1813,THEFT,5370
1814,THEFT,9753
1821,THEFT,11369
1822,THEFT,10091
1823,THEFT,5112
1824,THEFT,12195
1831,THEFT,18492
1832,THEFT,9823
1833,THEFT,20768
1834,THEFT,30249
1911,THEFT,5580
1912,THEFT,5500
1913,THEFT,6681
1914,THEFT,2918
1915,THEFT,2825
1921,THEFT,2782
1922,THEFT,6583
1923,THEFT,8783
1924,THEFT,10821
1925,THEFT,5106
1931,THEFT,8901
1932,THEFT,8489
1933,THEFT,10374
1934,THEFT,5015
1935,THEFT,5223
2011,THEFT,6104
2012,THEFT,4007
2013,THEFT,4493
2022,BATTERY,2724
2023,THEFT,5721
2024,THEFT,3548
2031,THEFT,3679
2032,THEFT,4143
2033,THEFT,3032
2111,THEFT,2568
2112,THEFT,2759
2113,NARCOTICS,5054
2122,THEFT,4213
2123,BATTERY,3650
2124,THEFT,2896
2131,THEFT,2478
2132,THEFT,5284
2133,THEFT,2905
2211,THEFT,5432
2212,THEFT,7624
2213,THEFT,5140
2221,THEFT,6186
2222,BATTERY,6044
2223,BATTERY,5900
2232,BATTERY,6211
2233,BATTERY,5722
2234,BATTERY,6351
2311,BATTERY,2869
2312,THEFT,2022
2313,BATTERY,1989
2322,THEFT,2999
2323,THEFT,2653
2324,THEFT,2941
2331,THEFT,4265
2332,THEFT,3979
2333,THEFT,4952
2411,THEFT,7655
2412,THEFT,6418
2413,THEFT,8265
2422,THEFT,8562
2423,THEFT,4596
2424,THEFT,4479
2431,THEFT,3774
2432,THEFT,6756
2433,THEFT,8349
2511,BATTERY,3929
2512,THEFT,11058
2513,THEFT,4155
2514,THEFT,5159
2515,BATTERY,6659
2521,THEFT,6932
2522,BATTERY,5153
2523,THEFT,4631
2524,BATTERY,4649
2525,BATTERY,4122
2531,BATTERY,5598
2532,BATTERY,7542
2533,THEFT,14181
2534,BATTERY,8384
2535,BATTERY,5778
